		interface_overlap	num_overlapping_intf_res	chain_overlap	num_overlapping_chn_res	matching_humap3_comps	min_pDockQ	min_IF_pLDDT	common_protein	protein_1	protein_2
Q8WXI9-Q8WWY6	Q8WWY6-O94776	no	0	yes	66	['huMAP3_10472.1', 'huMAP3_15128.1']	0.268	79.19379833533655	Q8WWY6	Q8WXI9	O94776
Q9UP83-Q96JB2	Q96JB2-Q8WTW3	no	0	yes	7	['huMAP3_04294.1', 'huMAP3_14423.1', 'huMAP3_09176.1', 'huMAP3_11797.1']	0.415	72.94058067619348	Q96JB2	Q8WTW3	Q9UP83
Q9NPD3-Q5RKV6	Q96B26-Q9NPD3	no	0	no	0	['huMAP3_05382.1', 'huMAP3_14264.1']	0.544	76.8234212280547	Q9NPD3	Q5RKV6	Q96B26
Q16576-O94776	Q9BTC8-Q16576	yes	64	yes	396	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.569	77.36345386090959	Q16576	Q9BTC8	O94776
Q9BT78-Q9H9Q2	Q9UBW8-Q9BT78	yes	19	yes	253	['huMAP3_05041.1', 'huMAP3_09779.1', 'huMAP3_14528.1', 'huMAP3_08550.1']	0.598	89.35589892717056	Q9BT78	Q9UBW8	Q9H9Q2
P60891-Q14558	P60891-P11908	yes	41	yes	330	['huMAP3_13128.1', 'huMAP3_10201.1', 'huMAP3_14146.1', 'huMAP3_11883.1', 'huMAP3_10941.1', 'huMAP3_12561.1']	0.702	90.44175165149072	P60891	Q14558	P11908
O75489-O43181	O95182-O75489	no	0	yes	6	['huMAP3_14018.1', 'huMAP3_09567.1', 'huMAP3_06397.1', 'huMAP3_08132.1', 'huMAP3_14878.1', 'huMAP3_14184.1', 'huMAP3_09982.1']	0.319	77.01362938257544	O75489	O95182	O43181
Q9Y6Q5-O43747	Q9Y6Q5-Q10567	yes	16	yes	534	['huMAP3_08695.1', 'huMAP3_12376.1', 'huMAP3_04311.1', 'huMAP3_10876.1', 'huMAP3_06769.1', 'huMAP3_10762.1', 'huMAP3_13055.1', 'huMAP3_06557.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.603	73.72108808374031	Q9Y6Q5	Q10567	O43747
P20618-P49721	P28066-P49721	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.448	89.37355915542256	P49721	P28066	P20618
P20618-P28062	P28072-P28062	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1']	0.489	81.1642995031941	P28062	P20618	P28072
Q15024-Q13868	Q15024-Q06265	no	0	no	0	['huMAP3_05382.1', 'huMAP3_14264.1']	0.522	82.18690489060744	Q15024	Q06265	Q13868
O60826-Q567U6	Q8TCE6-Q567U6	no	0	yes	15	['huMAP3_14444.1', 'huMAP3_01290.1', 'huMAP3_07032.1']	0.279	83.99811216201738	Q567U6	Q8TCE6	O60826
Q6IPU0-Q71F23	Q6IPU0-Q9BU64	no	0	yes	18	['huMAP3_06427.1', 'huMAP3_14808.1', 'huMAP3_09807.1', 'huMAP3_11899.1']	0.55	82.42458260303842	Q6IPU0	Q9BU64	Q71F23
Q6VN20-Q9NWU2	Q6VN20-Q9H7D7	no	0	no	0	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.5	85.3209283783067	Q6VN20	Q9NWU2	Q9H7D7
Q16576-Q13330	Q9P2Y4-Q16576	yes	20	yes	205	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.465	73.31302856965209	Q16576	Q13330	Q9P2Y4
Q6QNY0-Q8TDM0	Q9UL45-Q8TDM0	yes	23	yes	5	['huMAP3_09421.1', 'huMAP3_10940.1', 'huMAP3_11659.1']	0.644	87.68693066336726	Q8TDM0	Q9UL45	Q6QNY0
P60900-P25788	P25788-P28072	no	0	yes	3	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.373	92.43391222484053	P25788	P60900	P28072
Q86SZ2-Q9UL33	Q86SZ2-Q9Y5R8	no	0	no	0	['huMAP3_04127.1', 'huMAP3_07907.1', 'huMAP3_12177.1']	0.404	92.78555100214764	Q86SZ2	Q9UL33	Q9Y5R8
Q8WYJ6-Q99719	Q99719-Q16181	no	0	yes	17	['huMAP3_02362.1']	0.515	73.8407217412285	Q99719	Q8WYJ6	Q16181
P63104-P61981	P27348-P63104	yes	20	yes	247	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.662	94.72217546985232	P63104	P27348	P61981
O43660-Q15029	O43660-Q9UMS4	no	0	no	0	['huMAP3_09187.1', 'huMAP3_09945.1', 'huMAP3_15168.1']	0.357	76.48111023825862	O43660	Q15029	Q9UMS4
Q9P0V9-Q99719	Q9P0V9-Q14141	yes	55	yes	298	['huMAP3_02362.1']	0.602	72.79428085884561	Q9P0V9	Q14141	Q99719
P21281-P36543	Q9Y5K8-P21281	no	0	no	0	['huMAP3_10511.1', 'huMAP3_08678.1', 'huMAP3_01413.1', 'huMAP3_07099.1', 'huMAP3_09477.1', 'huMAP3_12042.1', 'huMAP3_05805.1', 'huMAP3_09873.1', 'huMAP3_13872.1', 'huMAP3_08381.1', 'huMAP3_10516.1', 'huMAP3_09242.1', 'huMAP3_07329.1']	0.481	78.43262585754383	P21281	P36543	Q9Y5K8
P62258-P63104	P31946-P63104	yes	22	yes	252	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.666	95.1423656834363	P63104	P62258	P31946
Q8N766-Q9P0I2	Q9P0I2-Q15006	no	0	yes	1	['huMAP3_03281.1']	0.545	81.64359009276059	Q9P0I2	Q8N766	Q15006
P15311-P35241	P26038-P15311	yes	57	yes	520	['huMAP3_04321.1', 'huMAP3_10281.1']	0.705	79.7633361102339	P15311	P26038	P35241
P24941-P20248	P20248-P06493	yes	35	yes	295	['huMAP3_10449.1', 'huMAP3_06587.1', 'huMAP3_14722.1']	0.56	74.69230200631293	P20248	P06493	P24941
P28066-P20618	P28066-P28065	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.241	76.59691694119624	P28066	P28065	P20618
Q8WXI9-Q9UBB5	Q8WXI9-Q09028	no	0	yes	68	['huMAP3_09499.1', 'huMAP3_08906.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.359	70.46680982068433	Q8WXI9	Q9UBB5	Q09028
P25788-P28065	P28065-P40306	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.368	78.69454513951543	P28065	P25788	P40306
P62136-P41236	P36873-P41236	yes	35	yes	308	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_08482.1']	0.652	79.76110802901215	P41236	P36873	P62136
Q14141-Q16181	Q9UHD8-Q14141	yes	65	yes	310	['huMAP3_02362.1']	0.652	80.45730089911338	Q14141	Q9UHD8	Q16181
P28070-P28074	P28074-P49721	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.408	80.57729526115452	P28074	P28070	P49721
P68371-P07437	P07437-Q3ZCM7	yes	23	yes	444	['huMAP3_09233.1', 'huMAP3_14709.1', 'huMAP3_10475.1', 'huMAP3_10665.1']	0.59	83.89459657943895	P07437	Q3ZCM7	P68371
Q13098-Q9BT78	Q7L5N1-Q9BT78	no	0	yes	1	['huMAP3_09779.1', 'huMAP3_14528.1', 'huMAP3_08550.1']	0.373	80.93194082352902	Q9BT78	Q13098	Q7L5N1
Q14566-Q9BTE3	P33992-Q14566	yes	19	yes	524	['huMAP3_12180.1', 'huMAP3_14758.1', 'huMAP3_11832.1', 'huMAP3_08554.1', 'huMAP3_11119.1', 'huMAP3_05529.1']	0.332	70.05219372420852	Q14566	P33992	Q9BTE3
O14818-P28074	P49720-P28074	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.411	82.49380066802739	P28074	O14818	P49720
Q12874-Q15393	Q7RTV0-Q15393	no	0	yes	25	['huMAP3_08980.1', 'huMAP3_04549.1', 'huMAP3_15168.1', 'huMAP3_06511.1', 'huMAP3_09187.1']	0.298	82.4881653917571	Q15393	Q12874	Q7RTV0
Q9GZN8-P36873	P36873-O60927	yes	24	yes	68	['huMAP3_14504.1']	0.606	79.11588831325112	P36873	O60927	Q9GZN8
P25787-P20618	P25787-P25789	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.265	88.78290080435926	P25787	P20618	P25789
P62136-O60927	P62136-Q13625	yes	12	yes	57	['huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_06304.1']	0.363	71.70402591004523	P62136	Q13625	O60927
P28070-P28074	P25788-P28070	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.361	80.57729526115452	P28070	P28074	P25788
Q92526-P40227	P48643-P40227	yes	27	yes	517	['huMAP3_14584.1', 'huMAP3_06559.1', 'huMAP3_09191.1', 'huMAP3_07938.1', 'huMAP3_10656.1']	0.613	73.40645028485395	P40227	Q92526	P48643
P78371-Q92526	P17987-Q92526	yes	28	yes	521	['huMAP3_14584.1', 'huMAP3_06559.1', 'huMAP3_09191.1', 'huMAP3_07938.1', 'huMAP3_10656.1']	0.616	73.87456013432515	Q92526	P78371	P17987
Q9BU61-O75489	P56556-O75489	yes	10	yes	108	['huMAP3_09567.1', 'huMAP3_14018.1', 'huMAP3_06397.1', 'huMAP3_14878.1', 'huMAP3_14184.1', 'huMAP3_09982.1']	0.396	82.87416704744496	O75489	P56556	Q9BU61
P20618-Q99436	P20618-P49721	no	0	yes	1	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.448	86.52144532824687	P20618	Q99436	P49721
Q96B26-Q06265	Q13868-Q06265	no	0	no	0	['huMAP3_05382.1', 'huMAP3_14264.1']	0.375	77.66539530815193	Q06265	Q96B26	Q13868
Q9UM11-Q9UJX2	Q8NHZ8-Q9UM11	no	0	yes	22	['huMAP3_12747.1', 'huMAP3_03388.1']	0.236	73.89209009350522	Q9UM11	Q9UJX2	Q8NHZ8
P28066-P28072	P28066-P28062	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1']	0.268	80.2330274593982	P28066	P28062	P28072
P49755-Q13445	Q15363-P49755	yes	29	yes	193	['huMAP3_10362.1', 'huMAP3_08461.1', 'huMAP3_07118.1', 'huMAP3_11421.1', 'huMAP3_09886.1', 'huMAP3_12213.1']	0.658	80.00437350077569	P49755	Q13445	Q15363
Q15555-Q15691	Q9UPY8-Q15691	yes	14	yes	130	['huMAP3_12964.1', 'huMAP3_13794.1', 'huMAP3_13165.1']	0.547	82.61753048182713	Q15691	Q15555	Q9UPY8
P41743-Q9BYG5	Q05513-Q9BYG5	yes	17	yes	517	['huMAP3_12987.1', 'huMAP3_10212.1', 'huMAP3_07433.1', 'huMAP3_09726.1', 'huMAP3_05806.1']	0.309	85.17167275141476	Q9BYG5	P41743	Q05513
O60244-Q9NVC6	Q9BTT4-O60244	no	0	no	0	['huMAP3_02730.1']	0.597	73.18545986560476	O60244	Q9NVC6	Q9BTT4
P59998-P61160	Q9BPX5-P59998	no	0	no	0	['huMAP3_14624.1', 'huMAP3_09309.1', 'huMAP3_14885.1', 'huMAP3_10743.1']	0.246	84.1948389979554	P59998	Q9BPX5	P61160
Q9NVA2-Q9UH03	Q9UH03-Q16181	yes	58	yes	298	['huMAP3_02362.1']	0.57	73.77101534711646	Q9UH03	Q16181	Q9NVA2
Q9UHD8-Q16181	Q15019-Q9UHD8	yes	34	yes	282	['huMAP3_02362.1']	0.508	71.7539366212844	Q9UHD8	Q15019	Q16181
P50991-P50990	P50990-P49368	no	0	no	0	['huMAP3_14584.1', 'huMAP3_06559.1', 'huMAP3_09191.1', 'huMAP3_07938.1', 'huMAP3_10656.1']	0.665	78.14234472835456	P50990	P50991	P49368
P08670-P48681	P17661-P08670	yes	30	yes	158	['huMAP3_11715.1', 'huMAP3_10960.1']	0.72	84.61174864789567	P08670	P48681	P17661
P25786-P28070	Q99436-P28070	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.384	88.41006454746956	P28070	Q99436	P25786
Q6ICB4-P32019	Q6ICB4-Q9NW61	no	0	yes	35	['huMAP3_13994.1', 'huMAP3_03486.1']	0.438	83.41444324964274	Q6ICB4	P32019	Q9NW61
P62136-P36873	P36873-O60927	no	0	yes	93	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_06304.1', 'huMAP3_08482.1']	0.238	79.45442497415914	P36873	O60927	P62136
P38936-P30281	P38936-P12004	no	0	yes	75	['huMAP3_14722.1', 'huMAP3_10449.1']	0.348	79.16590912609475	P38936	P12004	P30281
P31946-P61981	P31946-P63104	yes	18	yes	247	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.665	95.1423656834363	P31946	P63104	P61981
P25787-P28074	P28074-P28072	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.314	84.45545210870092	P28074	P25787	P28072
Q10567-Q9BXS5	Q10567-O43747	no	0	yes	3	['huMAP3_08695.1', 'huMAP3_12376.1', 'huMAP3_04311.1', 'huMAP3_06769.1', 'huMAP3_10876.1', 'huMAP3_10762.1', 'huMAP3_13055.1', 'huMAP3_06557.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.52	70.56466026234425	Q10567	Q9BXS5	O43747
P25789-P60900	P49720-P60900	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.439	92.8983167635151	P60900	P49720	P25789
P25789-P28070	P28070-Q99436	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.331	87.03821929904309	P28070	Q99436	P25789
P25789-P49721	P25786-P25789	no	0	yes	7	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.506	92.9950874377459	P25789	P25786	P49721
Q92769-Q9BTC8	Q9BTC8-Q16576	no	0	yes	60	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.569	77.44333129572611	Q9BTC8	Q92769	Q16576
P25963-Q01201	P25963-Q04206	yes	16	yes	143	['huMAP3_14474.1', 'huMAP3_05441.1']	0.298	72.17999390288806	P25963	Q01201	Q04206
P25787-P28062	P25787-P28066	no	0	yes	9	['huMAP3_00356.1', 'huMAP3_09656.1']	0.425	80.75374639854546	P25787	P28062	P28066
P49755-Q13445	Q15363-Q13445	yes	11	yes	57	['huMAP3_10362.1', 'huMAP3_08461.1', 'huMAP3_07118.1', 'huMAP3_11421.1', 'huMAP3_09886.1', 'huMAP3_12213.1']	0.42	78.24318793737184	Q13445	P49755	Q15363
Q8TAQ2-Q96GM5	Q8TAQ2-Q92925	yes	31	yes	293	['huMAP3_03221.1', 'huMAP3_11470.1']	0.592	75.80598924728073	Q8TAQ2	Q96GM5	Q92925
O15511-P61158	P61158-P61160	no	0	no	0	['huMAP3_10743.1', 'huMAP3_04814.1', 'huMAP3_14624.1', 'huMAP3_13904.1', 'huMAP3_09309.1', 'huMAP3_14885.1']	0.281	80.0278587036909	P61158	P61160	O15511
Q8WYJ6-Q99719	Q14141-Q99719	yes	44	yes	301	['huMAP3_02362.1']	0.582	73.8407217412285	Q99719	Q8WYJ6	Q14141
Q9UHD8-Q9P0V9	Q9UHD8-Q92599	yes	31	yes	135	['huMAP3_02362.1']	0.631	76.21795159614476	Q9UHD8	Q9P0V9	Q92599
Q8WYJ6-Q9NVA2	Q15019-Q9NVA2	yes	54	yes	304	['huMAP3_02362.1']	0.566	73.03558153810916	Q9NVA2	Q8WYJ6	Q15019
Q15019-Q9NVA2	Q9P0V9-Q15019	yes	53	yes	342	['huMAP3_02362.1']	0.566	73.03558153810916	Q15019	Q9P0V9	Q9NVA2
P62136-Q15435	P62136-Q6NYC8	yes	19	yes	229	['huMAP3_09354.1', 'huMAP3_10148.1', 'huMAP3_09633.1', 'huMAP3_14504.1']	0.462	71.9601633772259	P62136	Q6NYC8	Q15435
P38606-P15313	P15313-P21281	yes	11	yes	207	['huMAP3_10511.1', 'huMAP3_08678.1', 'huMAP3_07099.1', 'huMAP3_09477.1', 'huMAP3_12042.1', 'huMAP3_05805.1', 'huMAP3_09873.1', 'huMAP3_13872.1', 'huMAP3_08381.1', 'huMAP3_10516.1', 'huMAP3_09242.1', 'huMAP3_07329.1']	0.309	83.17033608868076	P15313	P21281	P38606
P20618-P25786	P25786-P49720	no	0	yes	20	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.319	89.25710346227076	P25786	P49720	P20618
Q13547-Q96BD5	Q14687-Q13547	yes	10	yes	362	['huMAP3_09232.1', 'huMAP3_09031.1', 'huMAP3_10311.1', 'huMAP3_15128.1', 'huMAP3_01287.1', 'huMAP3_08800.1', 'huMAP3_08605.1']	0.263	70.44835825215644	Q13547	Q96BD5	Q14687
Q99832-P50990	Q92526-P50990	yes	11	yes	1	['huMAP3_14584.1', 'huMAP3_06559.1', 'huMAP3_09191.1', 'huMAP3_07938.1', 'huMAP3_10656.1']	0.683	79.2585505316083	P50990	Q99832	Q92526
Q15024-Q9NQT4	Q06265-Q9NQT4	no	0	yes	15	['huMAP3_05382.1', 'huMAP3_14264.1']	0.603	84.50206363327092	Q9NQT4	Q06265	Q15024
P62136-O60927	P62136-P36873	no	0	no	0	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_06304.1', 'huMAP3_08482.1']	0.238	75.41847347877973	P62136	P36873	O60927
P25788-P25789	P25788-P28072	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.373	92.43391222484053	P25788	P28072	P25789
P30876-P62875	O15160-P62875	yes	18	yes	37	['huMAP3_14318.1', 'huMAP3_11092.1']	0.661	88.7407824505877	P62875	O15160	P30876
Q99832-Q92526	Q99832-P50991	yes	27	yes	503	['huMAP3_14584.1', 'huMAP3_06559.1', 'huMAP3_09191.1', 'huMAP3_07938.1', 'huMAP3_10656.1']	0.651	78.48010246758606	Q99832	P50991	Q92526
Q8WYJ6-Q99719	Q99719-Q9UH03	yes	47	yes	307	['huMAP3_02362.1']	0.517	72.13541236084829	Q99719	Q9UH03	Q8WYJ6
Q9P015-Q8TAE8	Q9P015-Q9BYD3	no	0	yes	10	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.452	87.72481512866517	Q9P015	Q8TAE8	Q9BYD3
P25789-O14818	O14818-P28062	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1']	0.357	87.18602311048473	O14818	P28062	P25789
Q9Y399-P82933	Q9Y2Q9-Q9Y399	no	0	yes	19	['huMAP3_11966.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_09602.1', 'huMAP3_05807.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.595	86.21636598055375	Q9Y399	P82933	Q9Y2Q9
Q9BSJ2-Q6P582	Q9Y5B8-Q6P582	no	0	yes	70	['huMAP3_14882.1', 'huMAP3_09443.1']	0.302	79.95546083325522	Q6P582	Q9Y5B8	Q9BSJ2
O15511-P59998	P59998-O15144	no	0	no	0	['huMAP3_10743.1', 'huMAP3_04814.1', 'huMAP3_14624.1', 'huMAP3_13904.1', 'huMAP3_09309.1', 'huMAP3_14885.1']	0.602	92.5856356800086	P59998	O15511	O15144
P17612-P13861	P17612-P10644	yes	38	yes	328	['huMAP3_14681.1', 'huMAP3_11135.1', 'huMAP3_13352.1']	0.697	81.47742532573356	P17612	P13861	P10644
Q99436-P28070	P25788-P28070	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.361	88.41006454746956	P28070	P25788	Q99436
A0JLT2-O60244	O60244-Q13503	no	0	yes	9	['huMAP3_02730.1']	0.383	73.56965548038926	O60244	Q13503	A0JLT2
P25788-P28072	P25788-P49721	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.373	90.58227011405243	P25788	P28072	P49721
Q8WUF5-P62136	P62136-Q12972	yes	26	yes	166	['huMAP3_10148.1', 'huMAP3_06341.1', 'huMAP3_14504.1']	0.676	74.70952136279297	P62136	Q12972	Q8WUF5
P62068-Q8TBZ3	Q09019-P62068	yes	21	yes	507	['huMAP3_14529.1', 'huMAP3_08735.1', 'huMAP3_12501.1', 'huMAP3_10857.1', 'huMAP3_09502.1', 'huMAP3_10588.1']	0.535	76.68314026265504	P62068	Q09019	Q8TBZ3
P25787-P49721	P25787-P60900	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.486	93.86730105615948	P25787	P60900	P49721
Q9BUI4-O14802	O14802-Q9Y535	no	0	no	0	['huMAP3_06426.1', 'huMAP3_00807.1', 'huMAP3_11092.1', 'huMAP3_09057.1', 'huMAP3_08487.1', 'huMAP3_14318.1']	0.394	71.74175459247878	O14802	Q9Y535	Q9BUI4
P06730-O43432	P06730-Q9NRA8	yes	27	yes	526	['huMAP3_13436.1', 'huMAP3_10733.1', 'huMAP3_13122.1', 'huMAP3_12383.1', 'huMAP3_12323.1', 'huMAP3_09957.1']	0.344	79.72394659488221	P06730	Q9NRA8	O43432
Q6VN20-Q8IVV7	Q9NWU2-Q6VN20	no	0	yes	5	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1']	0.319	87.18653358418905	Q6VN20	Q9NWU2	Q8IVV7
P20618-Q99436	P20618-P28065	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.406	84.10777810700138	P20618	P28065	Q99436
Q7L5Y9-Q6VN20	Q9H871-Q7L5Y9	no	0	yes	14	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.344	81.11471431236751	Q7L5Y9	Q6VN20	Q9H871
Q9HAF1-Q9H2F5	Q9NXR8-Q9HAF1	yes	17	yes	152	['huMAP3_04039.1', 'huMAP3_06087.1', 'huMAP3_10481.1', 'huMAP3_07843.1', 'huMAP3_09291.1', 'huMAP3_14306.1']	0.438	83.00417770712197	Q9HAF1	Q9H2F5	Q9NXR8
P25788-P28070	P60900-P28070	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.361	88.30231496201267	P28070	P25788	P60900
O94776-Q16576	Q86YP4-Q16576	yes	32	yes	252	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.316	70.35172576611708	Q16576	Q86YP4	O94776
P61981-P63104	P63104-Q04917	yes	20	yes	247	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.668	95.52053382440356	P63104	Q04917	P61981
