Entry	eggNOG
O00198	ENOG502T2F4;
O00203	KOG1060;
O00204	KOG1584;
O00206	KOG4641;
O00212	KOG0393;
O00213	ENOG502QT08;
O00214	
O00217	KOG3256;
O00219	KOG2571;
O00220	ENOG502RBEC;
O00221	KOG0504;
O00222	KOG1056;
O00231	KOG1463;
O00232	KOG1498;
O00233	KOG3129;
O00237	KOG0800;
O00238	KOG2052;
O00241	ENOG502S1XD;
O00244	KOG1603;
O00253	ENOG502S7K0;
O00254	ENOG502QWI1;
O00255	ENOG502QUYK;
O00257	KOG2748;
O00258	KOG4253;
O00264	KOG1110;
O00267	KOG1999;
O00268	KOG2341;
O00270	KOG3656;
O00273	ENOG502RQ19;
O00287	ENOG502S2J4;
O00291	KOG0980;
O00292	KOG3900;
O00294	KOG2502;
O00299	KOG1422;
O00300	ENOG502QVRT;
O00303	KOG2975;
O00305	KOG3812;
O00308	KOG0940;
O00311	KOG1167;
O00322	KOG3882;
O00327	KOG3561;
O00329	KOG0904;
O00330	KOG0557;
O00337	KOG3747;
O00338	KOG1584;
O00339	KOG1217;
O00341	
O00358	KOG2294;
O00370	
O00391	KOG1731;
O00399	KOG4042;
O00400	KOG3574;
O00401	KOG3671;
O00408	KOG3689;
O00409	KOG2294;
O00410	KOG2171;
O00411	KOG1038;
O00418	ENOG502QVA3;
O00421	KOG3656;
O00422	KOG3391;
O00423	KOG2106;
O00425	KOG2193;
O00429	KOG0446;
O00442	KOG3980;
O00443	KOG0905;
O00444	KOG0575;
O00445	KOG1028;
O00451	ENOG502QS3P;
O00453	ENOG502TDBU;
O00459	KOG4637;
O00461	ENOG502R4Q5;
O00462	KOG2230;
O00463	KOG0297;
O00468	KOG3509;
O00469	KOG1971;
O00470	KOG0773;
O00471	KOG3745;
O00472	KOG4796;
O00476	KOG2532;
O00478	ENOG502QSRZ;
O00481	ENOG502QSRZ;
O00482	KOG4218;
O00483	ENOG502S65P;
O00487	KOG1555;
O00488	KOG3408;
O00499	KOG3771;
O00501	ENOG502QW5D;
O00505	KOG0166;
O00506	KOG0201;
O00507	
O00512	ENOG502QREN;
O00519	KOG1212;
O00522	KOG4335;
O00526	KOG2294;
O00533	KOG3513;
O00541	KOG2481;
O00548	KOG1217;
O00555	KOG2301;
O00559	ENOG502QSN4;
O00560	KOG0849;
O00562	KOG3668;
O00566	KOG2600;
O00567	KOG2573;
O00571	KOG0335;
O00574	ENOG502QSJQ;
O00584	KOG1642;
O00585	ENOG502S8D1;
O00587	ENOG502QV30;
O00590	KOG3656;
O00591	KOG3643;
O00592	ENOG502S2JU;
O00602	KOG2579;
O00622	ENOG502QQQQ;
O00623	KOG0826;
O00624	KOG2532;
O00625	ENOG502QQ5A;
O00626	ENOG502SWZ0;
O00628	KOG0277;
O00629	KOG0166;
O00631	ENOG502TD28;
O00635	KOG2177;
O00712	KOG3663;
O00716	KOG2577;
O00743	
O00744	KOG3913;
O00746	KOG0888;
O00748	KOG1516;
O00750	KOG0905;
O00754	KOG1959;
O00755	KOG3913;
O00757	KOG1458;
O00762	KOG0421;
O00763	KOG0368;
O00764	KOG2599;
O00767	KOG1600;
O14490	KOG3971;
O14492	ENOG502QT43;
O14493	ENOG502QSCN;
O14494	
O14495	KOG3030;
O14497	KOG2510;
O14503	KOG4304;
O14508	KOG4566;
O14511	ENOG502QRNM;
O14512	KOG4566;
O14513	ENOG502QWN7;
O14514	ENOG502QRTN;
O14519	KOG4713;
O14520	KOG0224;
O14521	KOG4097;
O14522	KOG4228;
O14523	ENOG502QRBG;
O14524	KOG3817;
O14525	ENOG502R4QT;
O14526	KOG2398;
O14529	KOG0963;KOG2252;
O14530	KOG1672;
O14531	KOG2584;
O14543	KOG4566;
O14544	KOG4566;
O14556	KOG0657;
O14558	KOG3591;
O14559	KOG1449;
O14561	KOG1748;
O14569	ENOG502QRPJ;
O14576	KOG1587;
O14578	KOG0612;KOG0976;
O14579	KOG3081;
O14593	KOG0502;
O14594	ENOG502QQ78;
O14595	KOG1605;
O14607	
O14610	KOG4119;
O14613	ENOG502RY28;
O14617	KOG1059;
O14618	KOG4656;
O14625	ENOG502SGFE;
O14627	KOG0848;
O14628	KOG1721;
O14633	ENOG502TDZA;
O14638	KOG2645;
O14639	KOG1044;
O14640	KOG3571;
O14641	KOG3571;
O14645	KOG4001;
O14646	KOG0384;
O14647	KOG0384;
O14649	KOG4404;
O14653	KOG3251;
O14654	ENOG502SD84;
O14656	KOG2170;
O14657	KOG2170;
O14662	KOG0809;
O14669	ENOG502RZZF;
O14672	KOG3658;
O14678	KOG0060;
O14681	KOG3966;
O14682	KOG4441;
O14684	ENOG502RZBK;
O14686	KOG4443;
O14713	ENOG502QS6V;
O14717	KOG0919;
O14727	KOG4155;KOG4658;
O14730	KOG2269;
O14732	KOG2951;
O14733	KOG0983;
O14734	KOG3016;
O14735	KOG3240;
O14737	KOG3431;
O14744	KOG0822;
O14745	KOG3528;
O14746	KOG1005;
O14756	KOG1610;
O14757	KOG0590;
O14763	ENOG502RBEC;
O14764	KOG3643;
O14770	KOG0773;
O14771	KOG1721;
O14772	ENOG502QRKZ;
O14773	ENOG502QR6D;
O14775	KOG0286;
O14776	KOG0155;
O14777	KOG0995;
O14782	KOG4280;
O14786	ENOG502QUEH;
O14787	KOG2023;
O14788	ENOG502R8MX;
O14791	ENOG502RZGU;
O14792	KOG3704;
O14793	KOG3900;
O14795	KOG1011;
O14796	KOG0565;
O14798	ENOG502RBEC;
O14802	KOG0261;
O14804	KOG3656;
O14807	KOG0395;
O14810	ENOG502S3I2;
O14813	KOG0484;
O14815	KOG0045;
O14817	KOG3882;
O14818	KOG0183;
O14827	KOG3417;
O14828	KOG3088;
O14829	KOG0377;
O14830	KOG0377;
O14832	KOG3290;
O14836	ENOG502SANG;
O14841	KOG1939;
O14842	ENOG502QVCS;
O14843	ENOG502QQGM;
O14862	ENOG502QTQS;
O14863	KOG1482;
O14867	KOG3863;
O14874	KOG0787;
O14879	KOG1124;
O14880	ENOG502S4E5;
O14893	ENOG502QPK4;
O14894	ENOG502RBE1;
O14896	ENOG502QRNT;
O14901	KOG1721;
O14904	KOG3913;
O14905	KOG3913;
O14907	KOG3553;
O14908	KOG3938;
O14910	KOG3550;
O14917	KOG3594;
O14920	KOG4250;
O14924	KOG3589;
O14925	KOG3324;
O14926	ENOG502QPRX;
O14929	KOG2696;
O14931	ENOG502SGFD;
O14933	KOG0422;
O14936	KOG0033;KOG0609;
O14939	KOG1329;
O14944	ENOG502S5DM;
O14948	KOG1318;
O14949	KOG4116;
O14950	KOG0031;
O14958	ENOG502QU4Q;
O14960	ENOG502S16D;
O14964	KOG1818;
O14965	KOG0580;
O14966	KOG4423;
O14967	KOG0675;
O14972	KOG2717;
O14974	KOG0505;
O14975	KOG1179;
O14976	KOG0431;KOG1989;KOG2283;
O14977	KOG0622;
O14978	KOG1721;
O14979	KOG0118;
O14980	KOG2020;
O14981	KOG0392;
O14983	KOG0202;
O14986	KOG0229;
O14994	KOG3895;
O15013	KOG3522;
O15014	ENOG502RCUP;
O15015	KOG1721;
O15018	KOG0708;KOG3528;
O15020	KOG0517;
O15021	KOG0606;
O15027	KOG1913;
O15031	KOG3610;
O15033	KOG0939;
O15040	KOG3621;KOG3669;
O15041	KOG3611;
O15042	KOG0151;
O15047	KOG1080;
O15049	ENOG502QVNK;
O15054	KOG1124;KOG1246;
O15055	KOG3753;
O15056	KOG0566;
O15060	KOG1721;
O15061	ENOG502QTUH;
O15062	KOG1721;
O15066	KOG4280;
O15067	KOG1907;
O15068	KOG4240;
O15072	KOG3538;
O15075	KOG0032;KOG3757;
O15078	ENOG502QPTZ;
O15079	ENOG502QUYH;
O15083	KOG4809;
O15084	KOG0504;
O15085	KOG3520;
O15091	ENOG502QRKG;
O15105	KOG3701;
O15111	KOG4250;
O15116	KOG1782;
O15117	ENOG502QTTQ;
O15118	KOG1933;
O15119	KOG3585;
O15120	KOG2848;
O15121	KOG2987;
O15123	KOG2579;
O15126	KOG3088;
O15127	KOG3088;
O15130	ENOG502S60B;
O15131	KOG0166;
O15143	KOG1523;
O15144	KOG2826;
O15145	KOG3155;
O15146	KOG1026;
O15151	ENOG502QQNV;
O15155	KOG3385;
O15156	KOG1721;
O15160	KOG1521;
O15162	KOG0621;
O15164	KOG2177;
O15165	ENOG502QRYK;
O15169	KOG3589;
O15173	KOG1110;
O15178	KOG3585;
O15182	
O15194	KOG1605;
O15195	KOG0443;
O15197	KOG0196;
O15198	KOG3701;
O15204	KOG3607;
O15205	KOG0001;
O15209	KOG1721;
O15211	KOG3629;
O15212	KOG3478;
O15213	KOG1272;
O15217	KOG1695;
O15226	KOG1721;
O15228	KOG3730;
O15229	KOG2614;
O15230	KOG1836;
O15231	KOG1704;
O15232	KOG1217;
O15234	KOG4264;
O15239	ENOG502S3S5;
O15240	ENOG502S5N4;
O15243	KOG2174;
O15244	KOG0255;
O15245	KOG0255;
O15247	KOG1422;
O15254	KOG0135;
O15258	KOG1688;
O15259	ENOG502QU7K;
O15260	KOG3998;
O15263	ENOG502SYUI;
O15264	KOG0660;
O15265	KOG4140;
O15266	KOG0490;
O15269	KOG1358;
O15270	KOG1357;
O15273	ENOG502S21D;
O15287	ENOG502QVUI;
O15294	KOG1124;KOG4626;
O15296	ENOG502QVKD;
O15297	KOG0698;
O15303	KOG1056;
O15304	ENOG502S2B7;
O15305	KOG3189;
O15315	KOG1433;
O15318	ENOG502RY1A;
O15327	KOG4428;
O15342	KOG3500;
O15344	KOG2177;
O15347	KOG0381;
O15350	ENOG502QQ48;
O15353	KOG2294;
O15354	KOG3656;
O15355	KOG0699;
O15357	KOG0565;KOG4384;
O15360	ENOG502QT8N;
O15371	KOG2479;
O15372	KOG1560;
O15374	KOG2504;
O15379	KOG1342;
O15381	KOG0733;
O15382	KOG0975;
O15389	ENOG502S41V;
O15391	KOG1721;
O15392	
O15393	KOG3627;
O15394	KOG3510;
O15397	KOG1991;
O15399	KOG1053;
O15400	KOG0811;
O15405	KOG0381;
O15409	KOG4385;
O15427	KOG2504;
O15431	KOG3386;
O15432	KOG3386;
O15438	KOG0054;
O15439	KOG0054;
O15440	KOG0054;
O15444	ENOG502S8D1;
O15446	ENOG502S2W3;
O15455	KOG4641;
O15457	KOG0220;
O15460	KOG1591;
O15466	KOG2692;
O15467	ENOG502TDPW;
O15479	KOG4562;
O15481	KOG4562;
O15484	KOG0045;
O15488	KOG1950;
O15492	KOG3589;
O15496	KOG4087;
O15498	KOG0861;
O15499	KOG0490;
O15503	KOG4363;
O15504	ENOG502R2TD;
O15511	KOG3380;
O15514	KOG2351;
O15516	KOG3561;
O15519	KOG3573;
O15520	KOG3885;
O15522	KOG0842;
O15523	
O15524	KOG4566;
O15525	KOG4196;
O15527	KOG2875;
O15528	KOG0159;
O15529	ENOG502QQGM;
O15530	KOG0592;
O15533	ENOG502QR0A;
O15534	KOG3753;
O15535	
O15537	ENOG502QU6Y;
O15540	KOG4015;
O15541	KOG1813;
O15547	ENOG502R480;
O15550	KOG1124;KOG1246;
O15551	ENOG502QRZ8;
O15552	ENOG502QQGM;
O15553	KOG2177;
O15554	KOG3684;
O42043	
O43143	KOG0925;
O43147	KOG1648;
O43148	KOG1975;
O43149	KOG1426;
O43150	KOG0521;
O43151	ENOG502QURD;
O43155	ENOG502QSJU;
O43156	KOG4524;
O43157	KOG3610;
O43159	KOG3045;
O43164	KOG0800;
O43166	KOG3686;
O43167	KOG1721;
O43169	KOG0537;
O43172	KOG0272;
O43173	KOG2692;
O43174	KOG0157;
O43175	KOG0068;
O43181	KOG3389;
O43182	KOG2710;
O43184	KOG3607;
O43186	KOG2251;
O43187	KOG1187;
O43189	KOG4323;
O43193	KOG3656;
O43194	KOG3656;
O43196	KOG0221;
O43236	ENOG502SETZ;KOG2655;
O43237	KOG3905;
O43242	KOG2581;
O43248	KOG0487;
O43251	KOG0125;
O43252	KOG4238;
O43255	KOG3002;
O43257	KOG3362;
O43264	KOG2163;
O43272	KOG0186;
O43278	KOG4295;
O43280	KOG0602;
O43281	ENOG502QUFB;
O43283	KOG4721;
O43286	KOG3916;
O43290	KOG2217;
O43291	KOG4295;
O43292	KOG3566;
O43293	KOG0032;
O43294	KOG1703;
O43295	KOG3565;
O43296	KOG1721;
O43298	KOG1721;
O43299	ENOG502QVBK;
O43300	KOG0619;
O43303	ENOG502QUVS;
O43306	KOG3619;
O43307	KOG3519;
O43309	KOG1721;
O43310	KOG3942;
O43312	ENOG502QRG4;
O43313	KOG1721;
O43314	KOG1057;
O43315	KOG0224;
O43316	KOG0849;
O43318	KOG0192;
O43320	KOG3885;
O43323	KOG3638;
O43324	KOG0867;
O43353	KOG0192;
O43364	KOG0489;
O43365	KOG0489;
O43374	KOG2059;
O43379	KOG1408;
O43390	KOG0117;
O43395	KOG2769;
O43396	KOG0908;
O43399	
O43402	KOG3289;
O43405	KOG1216;
O43422	ENOG502QU3U;
O43424	KOG1052;
O43426	KOG0566;
O43427	ENOG502QPQ2;
O43432	KOG0401;
O43435	KOG3586;
O43439	ENOG502QTD6;
O43447	KOG0879;
O43448	KOG1575;
O43451	KOG1065;
O43462	KOG2921;
O43463	KOG1082;
O43464	KOG1320;
O43474	KOG1721;
O43482	ENOG502S5R3;
O43488	ENOG502QU2T;
O43490	KOG4331;
O43491	KOG3527;
O43493	ENOG502S6YU;
O43497	KOG2302;
O43502	KOG1434;
O43504	ENOG502S5TK;
O43505	KOG3765;
O43506	KOG3607;
O43508	ENOG502S27R;
O43511	KOG0236;
O43513	KOG0570;
O43516	KOG4462;
O43520	KOG0206;
O43521	ENOG502S0DF;
O43524	KOG2294;
O43525	KOG1419;
O43526	KOG1419;
O43529	KOG4651;
O43541	KOG3701;
O43542	KOG1564;
O43543	KOG2859;
O43548	ENOG502QTRA;
O43556	KOG4482;
O43557	ENOG502RZ4W;
O43559	KOG4047;
O43561	
O43566	KOG3589;
O43567	KOG4628;
O43570	KOG0382;
O43572	KOG3590;
O43581	KOG1028;
O43583	KOG3239;
O43586	KOG2398;
O43592	KOG2021;
O43593	KOG1356;
O43597	ENOG502QTG8;
O43598	ENOG502S2J2;
O43602	KOG3757;
O43603	KOG3656;
O43609	ENOG502QSDN;
O43610	ENOG502R5TY;
O43612	ENOG502S83I;
O43613	KOG3656;
O43614	KOG3656;
O43615	KOG2580;
O43617	KOG3330;
O43623	KOG2462;
O43633	KOG3230;
O43639	KOG4226;
O43653	ENOG502SCWD;
O43660	KOG0285;
O43663	KOG4302;
O43665	KOG3589;
O43670	KOG2893;
O43674	KOG4632;
O43676	KOG4631;
O43678	KOG3446;
O43679	KOG2181;
O43680	KOG4029;
O43681	KOG2825;
O43683	KOG1166;
O43684	KOG1036;
O43687	
O43688	KOG3030;
O43699	ENOG502S41V;
O43704	KOG1584;
O43707	KOG0035;
O43708	KOG0868;
O43709	KOG1541;
O43711	KOG0488;
O43715	KOG3481;
O43716	KOG4247;
O43719	KOG1548;
O43731	KOG3106;
O43734	ENOG502QTXH;
O43739	KOG0930;
O43741	KOG1616;
O43745	KOG0034;
O43747	KOG1062;
O43749	ENOG502RTWB;
O43752	KOG3202;
O43759	KOG4016;
O43760	KOG4016;
O43761	KOG4016;
O43763	KOG0488;
O43765	KOG0553;
O43766	KOG2672;
O43768	
O43772	KOG0758;
O43776	KOG0555;
O43781	KOG0667;
O43790	ENOG502RTZU;
O43791	KOG1987;
O43795	KOG0164;
O43805	ENOG502S16M;
O43808	KOG0769;
O43809	KOG1689;
O43813	KOG2787;
O43815	KOG0642;
O43818	KOG0299;
O43819	KOG2792;
O43820	ENOG502QTXP;
O43822	KOG2123;
O43823	ENOG502QZY2;
O43825	KOG2287;
O43826	KOG2533;
O43827	KOG2579;
O43829	KOG1721;
O43837	KOG0784;
O43847	KOG0959;
O43852	KOG4223;
O43854	ENOG502QU9M;
O43861	KOG0210;
O43865	KOG1370;
O43866	ENOG502SHID;
O43868	KOG3747;
O43889	KOG0709;
O43895	KOG2413;
O43896	KOG0245;
O43897	KOG3714;
O43900	KOG1704;
O43903	KOG0516;
O43909	KOG2264;
O43913	KOG2543;
O43914	ENOG502SCVI;
O43915	ENOG502QVIH;
O43916	ENOG502S17I;
O43918	KOG0383;
O43920	KOG4110;
O43921	KOG3858;
O43924	KOG4038;
O43927	ENOG502SEXJ;
O43929	KOG2228;
O43933	KOG0735;
O60216	KOG1213;
O60218	KOG1577;
O60220	KOG3489;
O60229	KOG4240;
O60231	KOG0923;
O60232	KOG4537;
O60235	KOG3627;
O60237	KOG0505;
O60238	ENOG502R8Q5;
O60239	KOG2008;
O60240	ENOG502RY3Q;
O60241	ENOG502QRKJ;
O60242	ENOG502QRKJ;
O60243	KOG3955;
O60244	KOG1875;
O60248	KOG0527;
O60256	KOG1503;
O60258	KOG3885;
O60259	
O60260	KOG0006;
O60264	KOG0385;
O60266	KOG3619;
O60269	ENOG502SG81;
O60271	KOG2077;
O60281	KOG1721;
O60282	KOG0240;
O60284	KOG3803;
O60285	KOG0611;
O60291	KOG4265;
O60292	KOG3686;
O60293	KOG4839;
O60294	KOG2918;
O60296	KOG4360;
O60303	ENOG502QRY1;
O60304	KOG1721;
O60306	KOG1806;
O60307	KOG0606;
O60308	KOG4825;
O60312	KOG0206;
O60313	KOG0447;
O60315	KOG3623;
O60318	KOG1860;
O60331	KOG0229;
O60333	KOG0245;
O60336	KOG1408;
O60337	KOG1609;
O60341	KOG0029;KOG0685;
O60343	KOG4436;
O60346	KOG0618;
O60353	KOG3577;
O60356	
O60359	ENOG502QVF5;
O60381	ENOG502QR1P;
O60383	KOG3900;
O60391	KOG1053;
O60393	KOG0490;
O60423	KOG0206;
O60427	KOG4232;
O60437	KOG0516;
O60443	ENOG502QRAB;
O60447	KOG4436;
O60449	KOG4297;
O60462	ENOG502QVB7;
O60469	KOG3510;
O60476	KOG2204;
O60477	ENOG502QT9H;
O60478	ENOG502QQ83;
O60479	KOG0850;
O60481	KOG1721;
O60486	KOG3610;
O60487	ENOG502RYWU;
O60488	KOG1180;
O60493	KOG2527;
O60494	KOG4292;
O60496	KOG4047;
O60499	KOG3202;
O60500	KOG3515;
O60502	KOG3698;
O60503	KOG3618;
O60504	KOG4225;
O60506	KOG0117;
O60507	KOG3988;
O60508	KOG0282;
O60512	KOG3916;
O60513	KOG3916;
O60516	ENOG502S03G;
O60519	KOG4515;
O60524	KOG2030;
O60543	ENOG502RG9M;
O60547	KOG1372;
O60548	KOG2294;
O60551	KOG2779;
O60563	KOG0834;
O60565	ENOG502QQ5X;
O60566	KOG1166;
O60568	KOG1971;
O60573	KOG1669;
O60583	KOG0834;
O60602	KOG4641;
O60603	KOG4641;
O60609	ENOG502QWSW;
O60610	KOG1924;
O60613	KOG3384;
O60635	KOG3882;
O60636	KOG3882;
O60641	KOG0251;
O60645	KOG2286;
O60656	KOG1192;
O60658	KOG1229;
O60662	KOG4441;
O60663	KOG0490;
O60664	ENOG502R7TG;
O60667	ENOG502S6XH;
O60669	KOG2504;
O60671	KOG3194;
O60673	KOG0968;
O60674	KOG0197;
O60675	KOG4196;
O60678	KOG1499;
O60682	KOG4029;
O60683	KOG0317;
O60684	KOG0166;
O60687	ENOG502QREP;
O60701	KOG2666;
O60704	KOG3988;
O60706	KOG0054;
O60711	KOG1703;
O60716	KOG1048;
O60721	KOG1307;
O60725	KOG2628;
O60729	KOG1720;
O60733	KOG0513;
O60741	KOG0498;
O60749	KOG2273;
O60755	KOG3656;
O60759	KOG3528;
O60760	KOG1695;
O60762	KOG2978;
O60763	KOG0946;
O60779	KOG3810;
O60783	KOG1741;
O60784	KOG1087;
O60806	KOG3585;
O60812	KOG0118;
O60814	KOG1744;
O60825	KOG0234;
O60826	KOG1937;
O60828	KOG3427;
O60829	ENOG502TF3A;
O60830	
O60831	KOG4050;
O60832	KOG2529;
O60840	KOG2301;
O60841	KOG1144;
O60844	ENOG502S4MA;
O60858	KOG2177;
O60861	KOG0940;KOG2398;
O60869	KOG3398;
O60870	KOG2837;
O60879	KOG1924;
O60880	KOG0565;
O60882	KOG1565;
O60883	KOG3656;
O60884	KOG0712;
O60885	KOG1474;
O60888	KOG3338;
O60890	KOG1451;
O60894	ENOG502S0TC;
O60895	ENOG502S5WC;
O60896	ENOG502S3C2;
O60902	KOG0490;
O60906	KOG3873;
O60907	KOG0273;
O60909	KOG3916;
O60911	KOG1543;
O60921	KOG3999;
O60925	KOG3501;
O60927	KOG4102;
O60928	KOG3827;
O60930	KOG3752;
O60931	KOG3145;
O60934	ENOG502QQ7Y;
O60936	ENOG502SR4M;
O60938	KOG0619;
O60939	ENOG502R29H;
O60941	KOG4301;
O60942	KOG2386;
O75015	ENOG502RU1M;
O75019	ENOG502RYEX;
O75022	ENOG502RYEX;
O75023	ENOG502RYEX;
O75027	KOG0057;
O75030	KOG1318;
O75031	ENOG502QSZY;
O75037	KOG0244;
O75038	KOG0169;
O75044	KOG3565;
O75051	KOG3610;
O75052	KOG4458;KOG4815;
O75054	ENOG502QRRB;
O75056	ENOG502QTD2;
O75061	KOG0431;KOG2283;
O75063	KOG3829;
O75069	KOG3850;
O75072	ENOG502QUDN;
O75074	KOG1215;
O75077	KOG3607;
O75078	KOG3607;
O75081	ENOG502QTD6;
O75083	KOG0318;
O75084	KOG3577;
O75093	KOG4237;
O75094	KOG4237;
O75096	KOG1215;
O75106	KOG1186;
O75110	KOG0210;
O75112	
O75113	KOG3777;
O75116	KOG0612;
O75121	ENOG502QW9J;
O75122	KOG2956;
O75127	KOG4197;
O75128	ENOG502QTAY;
O75129	ENOG502R4QT;
O75131	KOG1327;
