		interface_overlap	num_overlapping_intf_res	chain_overlap	num_overlapping_chn_res	matching_humap3_comps	min_pDockQ	min_IF_pLDDT	common_protein	protein_1	protein_2	cmmn_p_homodimer	covariation_score	pair1_pdbs	pair2_pdbs	mutual_pair_structures	pair_struct_annot
P62136-O60927	P62136-Q13625	yes	12	yes	57	['huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_06304.1']	0.363	71.70402591004523	P62136	Q13625	O60927	no	0.044	{'8DWK', '8U5G', '8DWL'}	{'6GHM'}	{'No mutual structures'}	no structural evidence
P28070-P28074	P25788-P28070	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.361	80.57729526115452	P28070	P28074	P25788	no	0.69	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '6E5B', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	yes structural evidence
Q92526-P40227	P48643-P40227	yes	27	yes	517	['huMAP3_14584.1', 'huMAP3_06559.1', 'huMAP3_09191.1', 'huMAP3_07938.1', 'huMAP3_10656.1']	0.613	73.40645028485395	P40227	Q92526	P48643	yes	0.139428571428571	{'No overlap'}	{'7X0A', '8IB8', '8I9U', '7NVM', '7TRG', '7TTN', '8SFF', '8SHL', '8SGQ', '7X7Y', '8SGC', '8SHF', '8SHA', '8SHD', '8SGL', '7X6Q', '7NVN', '8SFE', '7X0V', '7TUB', '7NVO', '7WU7', '7X0S', '8SH9', '7LUP', '8SHE', '8SHN', '7WZ3', '6NRC', '7NVL', '8SG8', '6NR9', '7X3U', '7TTT', '8SHO', '7X3J', '6NRB', '8SHQ', '6NRA', '6QB8', '7LUM', '8I1U', '6NR8', '8SHP', '8SHG', '6NRD', '8SHT', '8SG9', '8HKI'}	{'No mutual structures'}	no structural evidence
P78371-Q92526	P17987-Q92526	yes	28	yes	521	['huMAP3_14584.1', 'huMAP3_06559.1', 'huMAP3_09191.1', 'huMAP3_07938.1', 'huMAP3_10656.1']	0.616	73.87456013432515	Q92526	P78371	P17987	yes	0.992	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9BU61-O75489	P56556-O75489	yes	10	yes	108	['huMAP3_09567.1', 'huMAP3_14018.1', 'huMAP3_06397.1', 'huMAP3_14878.1', 'huMAP3_14184.1', 'huMAP3_09982.1']	0.396	82.87416704744496	O75489	P56556	Q9BU61	no	0.066	{'No overlap'}	{'5XTI', '5XTB', '5XTD', '5XTH'}	{'No mutual structures'}	no structural evidence
P20618-Q99436	P20618-P49721	no	0	yes	1	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.448	86.52144532824687	P20618	Q99436	P49721	yes	0.886	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	yes structural evidence
Q96B26-Q06265	Q13868-Q06265	no	0	no	0	['huMAP3_05382.1', 'huMAP3_14264.1']	0.375	77.66539530815193	Q06265	Q96B26	Q13868	no	0.902	{'2NN6', '6D6Q', '6D6R', '6H25'}	{'2NN6', '6D6Q', '6D6R', '6H25'}	{'2NN6', '6H25', '6D6Q', '6D6R'}	yes structural evidence
Q9UM11-Q9UJX2	Q8NHZ8-Q9UM11	no	0	yes	22	['huMAP3_12747.1', 'huMAP3_03388.1']	0.236	73.89209009350522	Q9UM11	Q9UJX2	Q8NHZ8	no	0.112	{'5L9U', '8S4G', '7QE7', '5L9T', '8TAU', '8TAR', '4UI9'}	{'5L9U', '8S4G', '7QE7', '5L9T', '8TAU', '8TAR', '4UI9'}	{'5L9U', '8S4G', '7QE7', '5L9T', '8TAU', '8TAR', '4UI9'}	yes structural evidence
P28066-P28072	P28066-P28062	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1']	0.268	80.2330274593982	P28066	P28062	P28072	yes	0.464	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	{'7AWE', '6E5B', '7B12', '6AVO'}	{'No mutual structures'}	no structural evidence
P49755-Q13445	Q15363-P49755	yes	29	yes	193	['huMAP3_10362.1', 'huMAP3_08461.1', 'huMAP3_07118.1', 'huMAP3_11421.1', 'huMAP3_09886.1', 'huMAP3_12213.1']	0.658	80.00437350077569	P49755	Q13445	Q15363	no	0.676	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q15555-Q15691	Q9UPY8-Q15691	yes	14	yes	130	['huMAP3_12964.1', 'huMAP3_13794.1', 'huMAP3_13165.1']	0.547	82.61753048182713	Q15691	Q15555	Q9UPY8	yes	0.104	{'No overlap'}	{'3TQ7'}	{'No mutual structures'}	no structural evidence
P41743-Q9BYG5	Q05513-Q9BYG5	yes	17	yes	517	['huMAP3_12987.1', 'huMAP3_10212.1', 'huMAP3_07433.1', 'huMAP3_09726.1', 'huMAP3_05806.1']	0.309	85.17167275141476	Q9BYG5	P41743	Q05513	no	0.336	{'No overlap'}	{'None'}	{'No mutual structures'}	no structural evidence
O60244-Q9NVC6	Q9BTT4-O60244	no	0	no	0	['huMAP3_02730.1']	0.597	73.18545986560476	O60244	Q9NVC6	Q9BTT4	no	0.244	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	yes structural evidence
P59998-P61160	Q9BPX5-P59998	no	0	no	0	['huMAP3_14624.1', 'huMAP3_09309.1', 'huMAP3_14885.1', 'huMAP3_10743.1']	0.246	84.1948389979554	P59998	Q9BPX5	P61160	no	0.35	{'6YW7', '8P94', '6YW6', '6UHC'}	{'8P94', '6YW6'}	{'8P94', '6YW6'}	yes structural evidence
Q9NVA2-Q9UH03	Q9UH03-Q16181	yes	58	yes	298	['huMAP3_02362.1']	0.57	73.77101534711646	Q9UH03	Q16181	Q9NVA2	yes	0.874	{'No overlap'}	{'6UQQ'}	{'No mutual structures'}	no structural evidence
Q9UHD8-Q16181	Q15019-Q9UHD8	yes	34	yes	282	['huMAP3_02362.1']	0.508	71.7539366212844	Q9UHD8	Q15019	Q16181	yes	0.968	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P50991-P50990	P50990-P49368	no	0	no	0	['huMAP3_14584.1', 'huMAP3_06559.1', 'huMAP3_09191.1', 'huMAP3_07938.1', 'huMAP3_10656.1']	0.665	78.14234472835456	P50990	P50991	P49368	yes	0.988	{'7X0A', '8IB8', '8I9U', '7NVM', '7TRG', '7TTN', '8SFF', '8SHL', '8SGQ', '7X7Y', '8SGC', '8SHF', '8SHA', '8SHD', '8SGL', '7X6Q', '7NVN', '8SFE', '7X0V', '7TUB', '7NVO', '7WU7', '7X0S', '8SH9', '7LUP', '8SHE', '8SHN', '7WZ3', '6NRC', '7NVL', '8SG8', '6NR9', '7X3U', '7TTT', '8SHO', '7X3J', '6NRB', '8SHQ', '6NRA', '6QB8', '7LUM', '8I1U', '6NR8', '8SHP', '8SHG', '6NRD', '8SHT', '8SG9', '8HKI'}	{'7X0A', '8IB8', '8I9U', '7NVM', '7TRG', '7TTN', '8SFF', '8SHL', '8SGQ', '7X7Y', '8SGC', '8SHF', '8SHA', '8SHD', '8SGL', '7X6Q', '7NVN', '8SFE', '7X0V', '7TUB', '7NVO', '7WU7', '7X0S', '8SH9', '7LUP', '8SHE', '8SHN', '7WZ3', '6NRC', '7NVL', '8SG8', '6NR9', '7X3U', '7TTT', '8SHO', '7X3J', '6NRB', '8SHQ', '6NRA', '6QB8', '7LUM', '8I1U', '6NR8', '8SHP', '8SHG', '6NRD', '8SHT', '8SG9', '8HKI'}	{'7X0A', '8IB8', '8I9U', '7NVM', '7TRG', '7TTN', '8SFF', '8SHL', '8SGQ', '7X7Y', '8SGC', '8SHF', '8SHA', '8SGL', '8SHD', '7X6Q', '7NVN', '8SFE', '7X0V', '7TUB', '7NVO', '7WU7', '7X0S', '8SH9', '7LUP', '8SHE', '8SHN', '7WZ3', '6NRC', '7NVL', '8SG8', '6NR9', '7X3U', '7TTT', '8SHO', '7X3J', '6NRB', '8SHQ', '6NRA', '6QB8', '7LUM', '8I1U', '6NR8', '8SHP', '8SHG', '6NRD', '8SHT', '8SG9', '8HKI'}	yes structural evidence
P08670-P48681	P17661-P08670	yes	30	yes	158	['huMAP3_11715.1', 'huMAP3_10960.1']	0.72	84.61174864789567	P08670	P48681	P17661	yes	0.094	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P25786-P28070	Q99436-P28070	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.384	88.41006454746956	P28070	Q99436	P25786	no	0.96	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '6E5B', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	yes structural evidence
Q6ICB4-P32019	Q6ICB4-Q9NW61	no	0	yes	35	['huMAP3_13994.1', 'huMAP3_03486.1']	0.438	83.41444324964274	Q6ICB4	P32019	Q9NW61	no	0.1	{'No overlap'}	{'None'}	{'No mutual structures'}	no structural evidence
P62136-P36873	P36873-O60927	no	0	yes	93	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_06304.1', 'huMAP3_08482.1']	0.238	79.45442497415914	P36873	O60927	P62136	yes	0.214	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P38936-P30281	P38936-P12004	no	0	yes	75	['huMAP3_14722.1', 'huMAP3_10449.1']	0.348	79.16590912609475	P38936	P12004	P30281	no	0.183555555555556	{'No overlap'}	{'1AXC', '5E0U', '4RJF', '7KQ1', '7KQ0', '6CBI'}	{'No mutual structures'}	no structural evidence
P31946-P61981	P31946-P63104	yes	18	yes	247	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.665	95.1423656834363	P31946	P63104	P61981	yes	0.864	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P25787-P28074	P28074-P28072	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.314	84.45545210870092	P28074	P25787	P28072	yes	0.906	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	yes structural evidence
Q10567-Q9BXS5	Q10567-O43747	no	0	yes	3	['huMAP3_08695.1', 'huMAP3_12376.1', 'huMAP3_04311.1', 'huMAP3_06769.1', 'huMAP3_10876.1', 'huMAP3_10762.1', 'huMAP3_13055.1', 'huMAP3_06557.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.52	70.56466026234425	Q10567	Q9BXS5	O43747	no	0.538	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P25789-P60900	P49720-P60900	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.439	92.8983167635151	P60900	P49720	P25789	yes	1.0	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '8QYJ', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '5M32', '7W3C', '8CVS', '7QYB', '8QYL', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '5M32', '7W3C', '8CVS', '7QYB', '8QYL', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '5M32', '7W3C', '8CVS', '7QYB', '8QYL', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	yes structural evidence
